Time	BME680 Temperature (Â°C)	BME680 Pressure (hPa)	BME680 Humidity (%)	BME680 Gas Resistance (ohms)	Gas Baseline (ohms)	TSL2591 Lux	CO2 (ppm)	PM10 (ug/m3)	PM1.0 (ug/m3)	PM2.5 (ug/m3)	VOC Index (open)	IAQ Index	GPS Has Fix	GPS Lat	GPS Lon	GPS Alt (m)	GPS Speed (knots)	GPS Satellites	GPS HDOP	GPS UTC
3/25/2026 15:42	22.12032578	976.0178279	32.9490045	618908	1555138.787	4.739328	670.786	0	0	0	40.0143057	20.37759055	FALSE							None
3/25/2026 15:44	22.11088047	976.0008856	33.2356377	622177	1555138.787	5.006976	620.93	0	0	0	39.78552009	20.30583745	FALSE							None
3/25/2026 15:45	22.10539609	975.9924686	33.18166017	626590	1555138.787	5.006976	651.762	0	0	0	39.47856939	20.36164907	FALSE							None
3/25/2026 15:46	22.09915	975.9756377	33.19098748	630502	1555138.787	4.843776	644.546	0	0	0	39.20826849	20.35698866	FALSE							None
3/25/2026 15:47	22.09777891	975.9455889	33.28351505	637325	1555138.787	4.843776	637.986	0	0	0	38.74081988	20.35795275	FALSE							None
3/25/2026 15:48	22.10189219	975.9205693	33.21553768	644296	1555138.787	4.843776	664.226	0	0	0	38.26837183	20.40957252	FALSE							None
3/25/2026 15:49	22.11240391	975.9042386	33.38695873	644884	1555138.787	4.843776	731.138	0	0	0	38.22875515	20.50650099	FALSE							None
3/25/2026 16:00	22.26276719	975.5722193	32.6911467	632194	1555138.787	5.006976	677.346	0	0	1	39.09187837	20.40941187	FALSE							None
3/25/2026 16:01	22.25195078	975.5946938	33.02584367	632194	1555138.787	4.843776	712.114	0	0	0	39.09187837	20.45946766	FALSE							None
3/25/2026 16:02	22.24463828	975.5908224	33.04969968	641956	1555138.787	4.843776	686.53	0	1	1	38.42638911	20.43881597	FALSE							None
3/25/2026 16:03	22.24326719	975.5963434	33.05934661	640792	1555138.787	4.576128	716.05	0	0	0	38.50520723	20.47902859	FALSE							None
3/25/2026 16:04	22.24448594	975.5972711	33.07403655	644884	1555138.787	4.843776	693.746	0	0	0	38.22875515	20.45400466	FALSE							None
3/25/2026 16:05	22.24265781	975.5916444	32.966827	642539	1555138.787	4.517376	670.786	0	0	0	38.38696604	20.41656027	FALSE							None
3/25/2026 16:06	22.24524766	975.5718043	32.95726813	646654	1555138.787	4.680576	615.026	1	0	1	38.10971851	20.33641386	FALSE							None
3/25/2026 16:07	22.24646641	975.555791	32.98654265	652023	1555138.787	4.517376	634.05	1	1	1	37.75062378	20.37547634	FALSE							None
3/25/2026 16:08	22.2454	975.5280859	32.97673988	647840	1555138.787	4.517376	642.578	0	0	0	38.0301394	20.3821432	FALSE							None
3/25/2026 16:09	22.2454	975.5060629	32.9086384	652625	1555138.787	4.354176	628.146	2	0	0	37.71054472	20.36708091	FALSE							None
3/25/2026 16:10	22.24265781	975.4883061	32.90359452	653833	1555138.787	4.517376	607.81	0	0	0	37.63023171	20.33609387	FALSE							None
3/25/2026 16:11	22.23625938	975.4643794	32.96640321	654438	1555138.787	4.354176	651.762	1	0	0	37.59006447	20.40687288	FALSE							None
3/25/2026 16:12	22.22513828	975.4506233	32.97539726	658708	1555138.787	4.517376	635.362	0	0	0	37.30762155	20.38815196	FALSE							None
3/25/2026 16:13	22.21386484	975.4246816	33.00871244	661791	1555138.787	4.458624	613.714	2	0	0	37.10482968	20.3583423	FALSE							None
3/25/2026 16:14	22.20030625	975.3870494	32.99808014	664279	1555138.787	4.517376	656.354	2	0	0	36.94186303	20.4294161	FALSE							None
3/25/2026 16:15	22.18141563	975.348113	33.06009976	664904	1555138.787	4.354176	638.642	0	0	0	36.90102078	20.40303791	FALSE							None
3/25/2026 16:17	22.16130625	975.3116371	33.06849878	667416	1555138.787	4.458624	632.738	0	0	0	36.73725397	20.39767201	FALSE							None
